ID,Severity,Category,File,Line(s),Summary,Description,Status
1,HIGH,Logic Bug,apex_brain/brain/scheduler.py,328-346,Scheduler briefing re-fires indefinitely on failure,"If conversation.handle() raises an exception, task._last_fired_date is never set and the persistent fact is never stored. The next minute's tick retries, repeating every minute for the entire target hour (up to 60 retries). Wastes API credits.",Open
2,HIGH,Fragile API,apex_brain/memory/knowledge_store.py,89,Accesses private aiosqlite attribute _conn,"db._conn.isolation_level = None directly mutates the private _conn attribute of aiosqlite.Connection. If aiosqlite upgrades and changes internals, this silently breaks.",Open
3,HIGH,Config Gap,apex_brain/config.yaml,42-50,Missing 12+ configurable settings from config.py,"config.py defines scheduler_enabled, morning_briefing_hour, evening_briefing_hour, health_check_interval_minutes, event_subscription_enabled, event_significance_threshold, curator_enabled, fact_min_confidence_prune, webhook_cooldown_seconds, announce_on_events, phone_notify_target, mcp_server_url, mcp_transport — none exposed in config.yaml options.",Open
4,HIGH,Config Gap,apex_brain/run.sh,11-18,run.sh doesn't export scheduler/event/curator settings,"run.sh exports 8 settings from options.json but skips all autonomous loop settings. Even if added to config.yaml they wouldn't reach the Python process.",Open
5,MEDIUM,Design,apex_brain/tools/lock.py,13,Imports private function _create_confirmation_token from generic.py,"Private function (prefixed with _) imported across module boundaries. If signature changes, deprecated wrapper breaks silently.",Open
6,MEDIUM,Design,apex_brain/tools/security.py,19,Imports private function _create_confirmation_token from generic.py,Same cross-module private import issue as lock.py.,Open
7,MEDIUM,Code Quality,apex_brain/tools/generic.py,821,Redundant import re inside function + _ID_RE compiled every call,"re is already imported at module level (line 17). Also _ID_RE = re.compile() is recreated on every function call instead of being a module-level constant.",Open
8,MEDIUM,Data Loss,apex_brain/memory/routine_store.py,74,Routine names lowercased before storage losing original case,"name_norm = name.lower().strip() loses user's original casing. The COLLATE NOCASE on the column already handles case-insensitive lookups without lowercasing.",Open
9,MEDIUM,Type Error,apex_brain/tools/calendar_tool.py,231,Potential TypeError mixing aware/naive datetimes in sort,"all_events.sort(key=lambda x: x[0] or _dt.datetime.max) — if x[0] is timezone-aware and datetime.max is naive, Python raises TypeError.",Open
10,MEDIUM,Edge Case,apex_brain/memory/fact_extractor.py,142-144,Fence-stripping fails on malformed AI responses,"If AI returns just triple-backtick with no newline or closing fence, produces empty string that fails JSON parsing. Extraction silently returns no facts.",Open
11,MEDIUM,Security,apex_brain/brain/server.py,403-431,Rate limiting bypassable via X-Forwarded-For header spoofing,"Rate limiter falls back to X-Forwarded-For when request.client is None. Behind a reverse proxy an attacker can spoof this header to bypass rate limits.",Open
12,LOW,Resilience,apex_brain/brain/event_subscriber.py,184,Silently drops malformed WebSocket messages,"Malformed messages caught and logged at warning level with continue. The event is permanently lost with minimal indication.",Open
13,LOW,Logic,apex_brain/tools/generic.py,1040-1042,Fragile error detection via string prefix,"Checks result.startswith('Error') or result.startswith('HA error'). A legitimate HA response starting with 'Error' would be incorrectly flagged as failure.",Open
14,LOW,Dead Code,apex_brain/tools/calendar_tool.py,470-473,delete_event stub registered as tool but returns 'not supported',"If registered via @tool the LLM may try to use it and confuse the user with a 'not yet supported' response.",Open
15,LOW,CI,azure-pipelines.yml / Dockerfile,11 / 7,CI tests Python 3.12 but production Dockerfile uses 3.13,"Not a bug today but if any 3.13-only syntax is used CI won't catch it.",Open
16,DOCS,Stale Docs,docs/ARCHITECTURE.md,90-104,Directory layout lists old test structure,"References tests/test_config.py etc. but actual structure now has tests/unit/ tests/model/ and tests/model_ha/ subdirectories.",Open
17,DOCS,Stale Docs,docs/WORKFLOW.md,147,References '423 tests' which is likely outdated,Test count has changed since the recent test directory restructuring.,Open
