"id","description","status","priority","file","type","sources","merged_from","reopened_count","progress"
"1","The confabulation detection regex `_CONFAB_CLAIM_RE` includes:","done","CRITICAL","apex_brain/brain/conversation.py","bug","P9","P9-BUG-145","0",""
"2","`conversation.handle()` has no synchronization. If two HTTP requests arrive simultaneously with the same `session_id`: 1. Both call `save_turn(""user"", ...)` — interleaved inserts 2. Both call `context_builder.build()` — each sees partial history 3. Both run `_ai_tool_loop()` — both build action traces for the same session_id key 4. Both call `save_turn(""assistant"", ...)` — interleaved responses Result: Conversation history has duplicated user turns, AI sees garbled context, action traces overwri","done","CRITICAL","apex_brain/brain/conversation.py","bug","P4","P4-BUG-60","0",""
"3","The reminder check compares `expires_at` against `now_iso` using string comparison:","done","CRITICAL","apex_brain/brain/scheduler.py","bug","P9","P9-BUG-144","0",""
"4","The scheduler's reminder check filters facts by `f.get(""expires_at"")`, but `get_all_facts()` returns dicts with only 7 keys: `id, category, key, value, confidence, created_at, updated_at`. The `expires_at` column is NOT in the SELECT query and NOT in the dict mapping. `f.get(""expires_at"")` always returns `None`, the `due` list is always empty, and **no reminder ever fires**.","done","CRITICAL","apex_brain/brain/scheduler.py","bug","P3","P3-BUG-93","0",""
"5","The shutdown section calls `.close()` on `routine_store`, `convo_store`, and `knowledge_store` WITHOUT null-checks:","done","CRITICAL","apex_brain/brain/server.py","bug","P4,P9","P4-BUG-59,P9-BUG-143","0",""
"6","The `raw` variable is first assigned at line 103 (`raw = content.strip()`), inside the `try` block. If a `json.JSONDecodeError` is raised during `json.loads(raw)` at line 114, `raw` IS defined and the handler works. However, `json.JSONDecodeError` can also be raised by other code, and more critically: if the code structure is ever changed so that the exception is raised before line 103, `raw` will be undefined. Currently the only path that hits the `json.JSONDecodeError` catch IS after line 103,","done","CRITICAL","apex_brain/memory/fact_extractor.py","bug","P5","P5-BUG-77","0",""
"7","In `_embed_text()`, the embedding response is parsed with a chain: `getattr(item, ""embedding"", None) or item.get(""embedding"")`. If `item` (from `data[0]`) is a Pydantic model or named tuple (common with LiteLLM `EmbeddingResponse`), and it lacks an `embedding` attribute, `getattr()` returns `None`. Then `item.get(""embedding"")` is called — but non-dict objects don't have `.get()`, causing `AttributeError`.","done","CRITICAL","apex_brain/memory/knowledge_store.py","bug","P5","P5-BUG-78","0",""
"8","Two issues in one: 1. `store_fact()` executes `BEGIN IMMEDIATE` but aiosqlite uses `isolation_level=""""` by default. Calling `BEGIN IMMEDIATE` when an implicit transaction is active raises `OperationalError: cannot start a transaction within a transaction`. 2. The ROLLBACK at line 304 has no try/except wrapper. If ROLLBACK itself fails (disk full, connection error), the original exception is replaced by the ROLLBACK error, making debugging impossible.","done","CRITICAL","apex_brain/memory/knowledge_store.py:209,","bug","P3","P3-BUG-94","0",""
"9","An LLM (or malicious API caller) can unlock doors, disarm alarms, open garage covers, and control cameras WITHOUT confirmation by simply passing `""confirmed"": true` in the `data` dict on the very first call. There is no server-side verification that a confirmation prompt was ever shown.","done","CRITICAL","apex_brain/tools/generic.py","bug","P3","P3-BUG-92","0",""
"10","`control_lock()` delegates to `do(""lock"", service, {""entity_id"": entity_id})` but never includes `""confirmed"": True` in the `data` parameter. The generic `do()` function (generic.py:637-657) checks `data and data.get(""confirmed"")` and blocks all calls to PROTECTED_DOMAINS (which includes `""lock""`) without it. Since `control_lock` passes `data=None` (no fourth argument), every call returns the ""CONFIRMATION REQUIRED"" prompt — but there is no code path in `control_lock` to re-call with confirmatio","done","CRITICAL","apex_brain/tools/lock.py","bug","P8","P8-BUG-129","0",""
"11","Identical issue to BUG-129. `control_alarm()` calls `do(""alarm_control_panel"", service, {""entity_id"": entity_id}, {""code"": code} if code else None)`. When `code` is provided, data is `{""code"": ""1234""}` — no `confirmed` key. When `code` is `None`, data is `None`. Either way, `do()` sees `alarm_control_panel` in PROTECTED_DOMAINS without `confirmed=True` and returns the confirmation prompt. The wrapper cannot fulfill the confirmation.","done","CRITICAL","apex_brain/tools/security.py","bug","P8","P8-BUG-130","0",""
"12","ConversationStore — ZERO tests (SQL injection in _escape_like untested)","done","HIGH","","gap","P3","P3-GAP-1","0",""
"13","CooldownTracker — no dedicated tests","done","HIGH","","gap","P3","P3-GAP-4","0",""
